SERIAL,CPU,MEMORY,DISK
141,1664.761125,1733.830417,13.348727
142,2079.597349,1712.947028,9.167847
143,3891.571847,3248.04473,10.14524
144,5677.554466,5080.187849,30.828217
145,3143.599457,3314.883193,36.325549
146,3221.015498,2427.276444,21.456045
147,1695.87023,1013.018146,9.254883
148,2878.235456,2713.672068,21.236414
149,2177.165386,1742.827901,15.661355
150,3650.646122,2037.12752,19.499848
151,2962.868755,2117.732891,21.283661
152,2503.465179,1623.90929,14.365759
153,2680.938114,1586.200418,21.129858
154,3039.623606,2788.529649,47.611146
155,1934.247128,1420.193219,20.600186
156,2602.835737,2872.543082,36.010146
157,2892.279384,2238.509791,35.582366
158,4156.208211,4566.347364,59.033999
159,1365.809717,906.115943,10.995052
160,1188.59195,841.127589,12.616894
161,2638.702619,1976.926187,17.526321
162,1278.474403,1449.341807,7.28658
163,2546.479044,3579.208882,32.040648
164,1756.699969,2514.051034,58.499259
165,2201.207944,1470.104102,16.50749
166,1837.320548,1539.537827,13.098468
167,1860.915178,1556.563426,11.199941
168,2540.590002,2888.413657,25.702279
169,2813.70703,2426.337451,25.949166
170,2730.777983,2336.49527,26.90861
171,3687.136985,3782.284696,36.514944
172,2689.853603,4363.676104,30.689706
173,2401.393541,1679.077254,25.609269
174,2664.114826,1753.488006,19.60382
175,2839.905621,2631.754083,33.124513
176,2339.839925,1601.353442,15.393429
177,2774.816511,2215.852021,24.922996
178,1849.563135,1590.139107,114.158711
179,3118.68944,2703.230068,33.085416
180,3689.230277,4759.680185,49.200003
181,3299.398786,2986.159209,48.004169
182,3819.660111,2093.453145,44.504789
183,2031.303066,1353.162452,8.206878
184,1830.208351,955.327742,7.449016
185,1965.11809,1172.440837,11.194087
186,4020.442856,4979.642157,42.712429
187,6724.883218,3570.735355,58.003311
188,7649.18472,3907.714328,58.849317
189,6432.546531,4566.906332,56.034892
190,5662.412851,3675.08337,52.647665
191,7465.644679,3768.481284,51.243424
192,9544.344573,7386.235749,77.265835
193,7681.628963,6183.33498,102.852971
194,7496.266656,5395.164344,90.017507
195,9386.516083,5472.359384,71.039297
196,7197.278307,6160.552487,99.898419
197,9081.457768,6312.769655,101.421286
198,7468.435482,4880.078965,83.396872
199,4177.519269,2433.897908,52.049255
200,3517.363494,2968.504816,48.248148
201,6022.531814,4666.735129,50.418845
202,4257.432415,3852.257829,51.614372
203,6393.21848,5005.07768,68.688781
204,4913.704557,3430.832102,46.802071
205,3424.877414,3229.156093,37.591705
206,7415.024897,5619.139533,57.753373
207,4301.154719,4345.942115,41.857023
208,3460.631578,2747.519153,27.381761
209,2602.894288,1868.646869,20.336803
210,2331.056822,1584.788672,13.609376
211,11050.4795,9082.669632,31.138035
212,4444.387897,4171.129105,22.690595
213,4680.529243,3786.290018,22.187474
214,11451.03993,12698.81251,116.990514
215,12473.34836,9404.426448,138.262423
216,8961.181526,8693.949503,147.045813
217,5903.267184,5384.83231,66.889589
218,12306.1354,9869.235266,138.476876
219,9781.969628,8745.117723,101.096675
220,13902.11581,12230.87542,98.813002
221,10149.48544,9846.66664,84.209968
222,16002.98839,16581.51246,114.908038
223,12136.91537,10933.0159,98.646777
224,21087.94954,22762.44019,372.092722
225,14513.71125,17360.46014,428.585982
226,14050.88423,17436.72567,424.874909
227,2259.780799,1639.578953,25.417424
228,12336.59294,12571.39749,221.904355
229,10588.81886,7403.8523,79.155848
230,5201.115808,4298.451659,35.372779
231,7061.485881,5765.755963,36.150025
232,3534.507576,2359.958227,21.002428
233,9209.32005,10941.45971,177.444127
234,8361.658529,8295.806446,124.732455
235,5894.640147,4506.501293,91.238169
236,9440.082526,9885.642976,117.828189
237,7758.473218,7311.999825,92.478387
238,8316.65958,6380.895334,91.653211
239,9353.472509,6754.558697,128.904788
240,12295.90261,8761.220492,179.651066
241,16610.21357,14641.77161,207.977436
242,19492.47014,18373.97669,229.483269
243,16645.59954,15278.60567,200.05049
244,15158.55996,11670.36869,217.929611
245,16296.52307,17160.72346,397.401524
246,10511.11048,9699.637451,196.560199
247,10131.15351,10658.64657,217.669139
248,12592.45748,12485.80958,224.801212
249,10643.76627,10344.25582,187.262334
250,9010.662508,10338.03134,162.874125
251,9617.860261,8720.553568,166.487047
252,9190.200166,8047.195261,160.450756
253,10708.9423,8921.436984,168.846689
254,9883.962946,9189.686063,137.17897
255,10330.91888,7387.338742,125.843415
256,4913.486058,4417.116525,79.804856
257,5031.079383,5128.876249,84.814588
258,8282.228166,7538.990199,92.833774
259,13744.00907,11889.01689,112.526263
260,9114.851683,7728.572894,87.144679
261,5735.560889,5417.86004,72.305397
262,4757.451095,4559.803906,77.392051
263,11191.1126,8964.502165,108.458234
264,10388.62814,10438.12015,130.516233
265,13181.47889,12878.59188,180.492771
266,9600.900778,10669.65622,178.474152
267,6567.167439,6688.84051,123.396099
268,5978.94576,6264.075335,113.796746
269,5307.141898,4694.096801,101.96387
270,6963.132731,5421.868532,89.287089
271,7249.034773,5649.813776,96.385173
272,6093.163307,5431.134511,98.356331
273,5106.7417,4582.406428,85.96393
274,5557.193464,6159.486367,112.700937
275,3740.768129,3936.797289,83.417395
276,4445.203596,4642.606863,84.302874
277,5553.975748,5265.265116,94.374694
278,6233.973287,5427.836938,98.062977
279,3942.961389,3493.061581,73.703882
280,3526.748491,4273.948392,58.123988
281,3978.913753,3662.714478,77.06089
282,4845.791368,5277.742855,92.86049
283,4553.940154,4638.06248,69.9851
284,9818.651734,6835.872111,90.077927
285,5604.581168,4783.564397,80.340025
286,5280.608196,6010.589014,77.232969
287,6624.466764,5010.44258,76.730298
288,5958.136536,6272.005165,96.981538
289,12935.88488,11202.46656,191.052253
290,8468.764434,7188.918551,122.734775
291,3373.068062,3458.868044,70.797762
292,3638.386147,4586.041946,78.532117
293,2802.563593,3450.882774,75.248682
294,3676.34325,3682.542695,72.92054
295,3702.046436,3650.319605,73.478768
296,5200.567257,4639.201837,76.931794
297,5413.553719,4206.982007,79.594014
298,3471.376338,4189.55136,74.963235
299,3286.306311,3115.219779,59.433339
300,5595.320192,5658.747163,94.472895
301,6635.866566,5385.232477,82.237393
302,6083.577682,4288.353139,71.31618
303,2433.636182,2579.063844,53.077988
304,2475.152655,2675.991014,55.970544
305,2816.290766,2739.902935,64.848242
306,2276.346418,2445.652244,51.293711
307,2426.959455,2685.407761,53.269798
308,2163.99441,2661.912189,53.246409
309,2863.759504,3130.092191,64.597558
310,2598.532748,2593.7257,54.617586
311,2678.049808,2648.138362,54.870258
312,3965.666462,4016.788069,73.020465
313,5520.997907,6172.104989,101.58987
314,3191.93154,3391.692238,64.45451
315,3077.545094,3047.911435,57.733515
316,2522.812272,3283.025441,64.514383
317,2473.167157,2837.631355,61.482242
318,3484.578784,3315.657606,58.612225
319,4463.971565,4473.570479,90.454904
320,3258.977364,3880.655098,78.024284
321,2539.490362,2537.634073,55.649615
322,2217.47544,2404.663149,50.890318
323,3683.278917,3532.006715,67.272532
324,4324.564262,5064.93089,79.130018
325,3737.714454,3975.26989,81.139638
326,4023.68627,3262.295041,56.905423
327,2967.271999,2679.625801,59.494235
328,2284.112585,2496.983388,58.676204
329,3066.432321,2711.871537,55.621154
330,2402.167423,2504.839542,57.715513
331,2734.754593,2842.164586,72.557019
332,2583.893916,3861.476737,88.028628
333,2710.681131,2630.549293,57.241457
334,2639.207981,2634.016428,53.337594
335,2747.297237,2524.926283,53.675566
336,3431.964214,3578.163374,67.978186
337,3665.785934,3927.082529,71.949137
338,3152.296539,3538.883292,65.808539
339,3825.955902,3602.446017,67.861226
340,3044.478292,3138.883875,61.585305
341,4186.371976,3469.014337,69.489414
342,3000.090911,2863.833801,57.726361
343,3020.533543,3147.581684,58.556491
344,3253.601517,3175.52885,65.661521
345,4449.526481,4024.128119,65.966216
346,4817.598152,4317.254868,74.399362
347,3786.155806,3415.903311,62.403434
348,3397.835472,4351.091267,82.379189
349,3336.573419,5233.659215,86.547744
350,7089.220305,7051.208108,109.639599
351,5003.198939,5361.380064,138.755612
352,3307.255229,2851.993777,54.234582
353,3771.636275,3602.165255,71.398548
354,3558.690338,3553.440677,78.556538
355,7068.320104,6997.011119,156.145524
356,6979.651315,5917.595634,154.330554
357,5181.252009,3989.891546,98.980444
358,3910.46996,3441.288792,53.435387
359,5328.568925,7510.709477,91.644573
360,9975.275752,12245.00641,128.09766
361,12118.04094,15907.5676,156.149081
362,13424.29275,11785.44378,164.372843
363,8149.166773,6489.775719,111.649535
364,4305.061164,4876.71155,65.028471
365,4477.290533,4014.246772,74.124263
366,8960.970505,6416.361208,84.500794
367,8916.071558,7115.275473,74.194588
368,4353.635036,3316.099645,56.702012
369,7148.012006,6900.744401,66.861278
370,3270.099687,3169.319483,59.704216
371,2988.853027,2994.876726,57.364005
372,4549.331186,5019.956469,135.094921
373,6976.791759,7157.885823,97.013436
374,10116.06745,8117.886849,111.144161
375,4015.85594,3885.430262,96.680251
376,3339.115618,3911.611826,46.776327
377,8156.826707,6644.324904,56.842464
378,3280.321295,2231.405663,31.004225
379,3205.066602,1877.917788,12.315518
380,7604.593659,5071.755972,50.515225
381,3175.754576,2613.697592,31.795622
382,4288.697315,3739.053339,40.403434
383,5697.856109,4938.683432,50.545262
384,6122.668545,6277.122739,111.418319
385,5457.329154,6114.469522,59.540854
386,3635.206103,3517.351784,37.966586
387,2951.317378,2139.785587,21.3611
388,2551.26144,2494.364634,20.570513
389,2143.511147,1943.877234,23.824804
390,3291.373043,3224.581355,26.078981
391,4859.973929,3304.32163,41.3542
392,4560.631824,2669.856982,37.512566
393,7431.910703,5167.988883,64.258872
394,4260.824538,3923.595847,54.219717
395,4278.380982,2239.41801,41.479998
396,4985.386862,4442.338074,58.121993
397,5165.136717,9385.502475,71.307641
398,4192.098195,2688.634425,63.820872
399,4482.599107,2597.380171,34.344237
400,3426.963781,2603.821192,30.037185
401,5606.151911,4513.09346,48.822241
402,6418.936757,4708.280949,48.227014
403,7753.875822,4686.59234,80.559457
404,7251.937799,6040.489117,79.831379
405,8705.610185,5376.93552,63.491529
406,4509.010141,2848.230058,38.453802
407,4549.817458,2353.806917,44.248665
408,12887.42005,8615.044144,189.585541
409,18163.03441,12096.92993,205.389092
410,8035.249896,8071.29882,194.81263
411,4790.028382,3248.744549,60.839352
412,5132.832595,3732.018877,57.713841
413,5800.050786,4395.000682,66.684425
414,4819.107423,2929.122875,42.18422
415,7381.876168,3522.630075,48.038654
416,8550.463363,3438.508681,38.338911
417,6931.48087,3946.168124,55.678026
418,10567.90959,7278.032658,109.031793
419,11659.49042,7711.089003,116.93734
420,9123.377094,6111.990843,89.86854
421,8428.863781,5314.769229,90.078447
422,10174.82966,6525.047,77.077042
423,9226.642,5900.262898,76.807816
424,6348.908244,4261.446338,70.567846
425,6990.707233,4904.327739,61.003309
426,5714.329639,3958.757991,41.869237
427,5040.52435,4518.332649,118.773463
428,4143.327446,4078.906944,72.892717
429,4471.505149,3489.589757,69.774415
430,5719.873281,4117.140644,69.882923
431,6528.8799,4733.279212,59.700736
432,6835.881042,4769.007181,73.023565
433,16907.32459,9950.187412,126.597154
434,5525.606275,3679.187481,54.506764
435,3644.158327,3218.082027,38.792155
436,4624.957644,4373.659756,66.465501
437,4843.243472,2970.304025,47.382971
438,5415.336827,3241.362678,38.363387
439,3917.174727,2465.861742,50.185773
440,4120.695256,3138.98298,40.437539
441,7049.106585,7594.112952,62.502288
442,5598.605356,4709.308888,63.724103
443,6547.07318,4242.260734,47.058299
444,6628.226739,14300.41883,60.971998
445,4488.149825,5929.208925,39.802495
446,5969.59739,4120.555315,40.246964
447,4300.605282,6948.990032,31.762978
448,4571.587397,2787.767835,69.427376
449,7936.272003,4500.991938,18.258663
450,9519.74353,8207.410689,44.869477
451,6816.782319,4824.919012,70.786701
452,9825.180838,10580.16865,118.649395
453,6761.141397,5776.496388,79.568554
454,5017.689287,4307.542426,69.150254
455,4713.893251,5574.955542,62.45046
456,3956.475354,3020.820116,53.117737
457,8633.705028,10923.03315,68.280736
458,4236.228625,4735.680043,44.437308
459,3239.751198,2638.503892,29.190958
460,3148.54144,2940.213657,29.965998
461,2317.441679,1898.47845,27.609008
462,2864.37436,2049.181045,14.16578
463,4118.568402,3167.048059,39.834549
464,4436.103917,3664.627044,71.928447
465,7370.530021,3976.788829,51.468861
466,6638.022585,4892.446116,44.69894
467,2481.892059,1959.399081,14.963989
468,4150.567248,4545.894959,42.848027
469,2242.205323,1660.615821,21.149187
470,3923.830779,2828.868105,16.525308
471,4307.443992,5072.720148,41.925521
472,2062.172731,2333.880983,34.242727
473,1908.724259,1411.321423,13.768264
474,2270.202268,1671.091034,13.555973
475,3246.266223,2634.329202,27.042881
476,2810.486575,4747.958116,42.067106
477,1721.241706,1329.130911,14.658798
478,3358.688275,2785.939201,26.904783
479,2405.678331,1475.5888,13.998586
480,4516.095245,3444.344204,38.2457
481,6250.121985,6317.116789,67.111225
482,2228.719384,2086.589229,20.761414
483,3500.009994,2810.275588,28.598035
484,1762.578408,1836.871508,17.389992
485,1832.257644,1610.098017,19.000113
486,3858.773061,4065.76573,35.074289
487,1513.722024,1096.111899,9.793834
488,1785.403009,1608.494772,14.309132
489,2405.916484,1951.867168,20.571114
490,3999.008961,4979.036852,49.501261
491,2361.326401,2434.019195,15.710409
492,3553.979091,4406.895079,46.536942
493,2759.675638,2813.588085,34.491194
494,3801.506391,2506.440955,28.802592
495,2941.318199,4494.600826,27.590845
496,2099.979727,2720.493964,14.809852
497,2649.988413,2923.722922,27.095724
498,3366.186181,3952.505498,33.279319
499,1255.216835,1136.31377,38.011856
500,2244.603576,3251.74654,29.593373
501,1699.375777,965.079074,12.793647
502,1519.942086,1107.853546,20.150325
503,1828.651625,1506.105229,14.209491
504,2754.906515,2899.105168,29.203529
505,4117.762109,4126.134391,49.305311
506,2056.452441,1656.635753,15.204248
507,2406.159363,1305.022761,11.357951
508,1821.66348,1992.449672,13.854294
509,4117.230512,3323.203946,19.142426
510,3020.722603,2219.283578,14.54212
511,2936.253225,3148.580655,13.997985
512,3236.047794,3827.918576,38.313597
513,3085.577432,2464.829742,23.200713
514,4110.731138,4440.468897,46.670831
515,2314.051857,1646.979297,13.210652
516,1650.552786,1554.11716,13.026009
517,3467.835232,3503.334058,38.900984
518,5863.771966,6885.909081,68.979072
519,2933.851918,2492.493483,32.717596
520,2960.226039,3824.005243,54.595713
521,2362.390193,2447.710672,24.097808
522,2926.729334,1781.104901,22.768513
523,2950.852771,2501.106503,19.083319
524,2886.42897,2377.777183,24.798567
525,8055.584303,5051.132137,33.610838
526,4441.250983,5275.365598,23.268835
527,4140.349575,4375.452178,37.042368
528,10351.722,9156.05366,69.974899
529,8587.915815,7746.108278,73.743996
530,5434.731222,5406.982188,48.464427
531,7415.93044,5898.210466,39.795331
532,3816.517409,4256.581252,33.787236
533,3984.634297,3132.359915,28.620937
534,4258.346053,2969.511583,22.181608
535,5690.276018,4493.143011,25.270554
536,5454.239312,4850.920953,42.991591
537,5873.856743,5929.177191,43.047713
538,6204.443141,6537.56746,54.294576
539,4162.930139,3674.558648,33.089024
540,7288.695375,8028.562707,97.389043
541,5452.810262,4579.231343,57.130681
542,6319.296637,7128.71331,86.169122
543,2979.617214,2945.968955,34.260427
544,10690.56516,10782.00912,126.576012
545,7992.334866,7645.046986,74.011793
546,9265.052935,7511.721658,84.295882
547,4599.782311,5703.156459,82.417713
548,8388.498842,8741.217074,114.823897
549,10973.88555,9918.089273,107.165113
550,4926.369886,5707.072554,63.26899
551,6907.23039,6438.219985,80.609584
552,9558.296902,8539.674622,97.060032
553,15283.27328,12548.91756,141.872353
554,8887.660961,7447.751482,93.752951
555,8048.376512,5194.543331,59.24251
556,8029.581526,6075.040114,56.385496
557,3974.999162,3400.54797,38.902166
558,2677.574597,2270.845143,19.426023
559,4110.137684,4251.514317,50.907126
560,10863.36084,5322.203218,54.287379
561,10153.40418,5968.115861,55.69349
562,6829.730693,6260.569664,81.94488
563,4401.37217,3231.066661,32.383911
564,6302.486577,5066.958197,48.767586
565,5491.001967,3820.762309,59.082346
566,7384.096932,5221.85606,60.657131
567,3770.42479,3325.734241,23.639946
568,6306.971897,7319.95472,100.091767
569,4975.073096,5142.742795,51.170898
570,5649.505976,8021.454667,54.767064
571,3143.339513,3017.419422,21.324777
572,6495.695125,5766.964377,56.810546
573,6146.190805,4121.521362,66.840022
574,4874.734834,3547.100624,47.016405
575,6761.739173,4775.301625,72.376384
576,7163.256801,5124.742629,44.341458
577,9608.31941,9172.716893,78.720332
578,8006.211466,7531.691494,77.807383
579,9465.047071,19921.36124,79.487118
580,4493.593002,3473.289141,36.155302
581,7410.694784,6078.675127,49.611421
582,4411.701316,3413.447544,33.600432
583,6937.530502,3818.121834,51.115797
584,3957.181642,2328.493555,39.20126
585,3885.420732,2180.662824,26.599939
586,5282.298932,5088.932006,50.890754
587,8015.829451,8532.179529,57.15567
588,6979.555962,5471.41953,67.344534
589,3865.445295,3038.717895,41.385482
590,4508.361307,2731.510214,27.061954
591,6069.989134,3773.124305,40.41642
592,8000.970787,5719.761283,69.44919
593,8734.812029,5240.286769,52.007791
594,3612.571601,2605.801542,26.693549
595,7184.726019,5573.580462,48.619221
596,4130.450507,2977.218214,26.451853
597,4887.507169,3528.718717,28.491936
598,6996.681003,4437.436168,33.492019
599,8363.883647,4438.045792,35.209761
600,9517.490241,7162.683104,61.147264
601,6495.962726,5509.257229,56.080088
602,6584.152288,4370.394501,46.77238
603,3564.921364,2424.868232,20.645408
604,2636.070105,2331.15948,20.508242
605,2353.126577,1422.503559,17.508582
606,16905.92048,9279.274681,108.969951
607,6141.112553,3020.802446,24.703159
608,5949.511649,3503.598998,32.510926
609,5269.796036,4513.712374,38.874502
610,2818.241308,3372.349604,52.784909
611,2087.716867,1655.429426,18.391388
612,5420.856666,3981.565509,28.512721
613,5371.272519,4556.076846,59.981705
614,4350.595631,3324.332739,23.093138
615,2276.645483,1656.37073,9.419597
616,7789.890189,6690.140049,52.223366
617,5233.124311,3697.521076,26.599279
618,5865.271954,4435.593224,45.575323
619,10209.78097,7230.257703,60.893507
620,5165.181298,5328.308786,36.356324
621,6204.43203,5687.286568,71.971595
622,7495.84231,4584.558397,42.785857
623,9171.396744,8623.325545,61.865982
624,7329.300818,8843.268389,71.504303
625,6345.099135,9273.202492,94.061389
626,8516.472302,13339.77583,165.296094
627,6661.943113,5468.095141,77.381762
628,8651.946662,8515.759602,102.366455
629,2677.080513,2539.517366,32.778624
630,4472.181668,2739.862835,34.576801
631,3497.573971,1805.700318,26.987198
632,2439.226984,1304.560703,19.005239
633,2308.964753,1288.401797,17.344767
634,4853.569596,3688.22949,46.157245
635,5113.192149,4987.672387,101.838148
636,1761.901643,2058.808742,26.51141
637,10593.55823,6634.219228,93.76264
638,3695.39581,1714.202071,23.214498
639,4979.637369,4193.783802,41.773485
640,5732.64734,3887.566698,81.041338
641,5522.200597,4351.610876,76.55524
642,3383.981649,2011.074958,56.254815
643,2795.161462,1575.578631,31.39399
644,3424.276618,2953.062588,46.866331
645,5308.328915,3365.822902,35.763986
646,5173.096295,2999.842823,40.489814
647,5851.530154,2874.389415,32.616324
648,5422.834046,4005.457712,59.857099
649,8765.783978,7163.450463,87.479599
650,5412.489621,3649.849909,61.910296
651,5084.318464,2340.899979,48.028033
652,4844.866977,2546.794407,46.342717
653,6615.682984,5539.929299,67.765151
654,4134.63441,2390.050971,23.91038
655,5634.743322,2489.683772,73.215199
656,3620.896659,2151.275282,24.527703
657,3811.627524,3753.436492,19.718233
658,5999.17062,4896.127184,77.371729
659,5195.352388,2963.537722,52.375772
660,2635.564043,3031.175875,36.88443
661,4632.428327,4759.014881,31.011874
662,4272.656203,3180.360289,30.311305
663,4440.704576,3380.495399,31.106627
664,8267.086593,6087.009271,91.139948
665,3931.345759,2844.503963,34.98668
666,5293.905773,3860.875317,13.676312
667,2754.005243,1423.305835,43.939115
668,3313.463215,2223.692876,98.470995
669,3518.4055,2048.483472,22.635195
670,3536.207656,1939.944189,37.310422
671,2345.92369,1269.985333,22.824437
672,2989.7016,2483.147679,39.868697
673,4452.781371,4686.903202,52.897426
674,2793.114997,2705.631504,40.383791
675,5949.663925,4501.105624,78.754231
676,3773.569512,3428.635004,52.434803
677,4020.197534,3703.895392,46.878422
678,3555.056849,2640.916026,38.360968
679,3590.164656,3923.84504,28.593573
680,5963.822375,5028.257035,54.507071
681,6805.647098,4844.664121,40.464646
682,4321.070347,3657.996265,49.754658
683,3152.839769,2118.036638,18.144448
684,5095.182852,5711.327219,58.776534
685,8371.053135,10330.71471,143.921225
686,4405.240499,5313.636122,77.28141
687,3548.884052,2809.822125,35.385322
688,2363.174605,4319.448854,31.396835
689,4106.414702,23266.51551,89.618723
690,2560.439505,6894.53984,43.028066
691,2703.14179,2003.222222,18.53268
692,3208.022771,9594.039645,53.204945
693,3288.879161,2724.171074,30.18154
694,14626.84398,14603.79653,89.719373
695,4367.845242,3374.713496,64.460117
